Date,IBOV
2007-02-16 00:00:00,45849.0
2007-02-21 00:00:00,46090.0
2007-02-22 00:00:00,46452.0
2007-02-27 00:00:00,46207.0
2007-03-01 00:00:00,43516.0
2007-03-02 00:00:00,42369.0
2007-03-06 00:00:00,43218.0
2007-03-09 00:00:00,43465.0
2007-03-13 00:00:00,42749.0
2007-03-14 00:00:00,43288.0
2007-03-15 00:00:00,43278.0
2007-03-16 00:00:00,42730.0
2007-03-19 00:00:00,43712.0
2007-03-20 00:00:00,44350.0
2007-03-21 00:00:00,45630.0
2007-03-22 00:00:00,45424.0
2007-03-23 00:00:00,45532.0
2007-03-26 00:00:00,45644.0
2007-03-27 00:00:00,45206.0
2007-03-28 00:00:00,44484.0
2007-03-29 00:00:00,45355.0
2007-03-30 00:00:00,45804.0
2007-04-02 00:00:00,45597.0
2007-04-03 00:00:00,46288.0
2007-04-04 00:00:00,46553.0
2007-04-05 00:00:00,46646.0
2007-04-09 00:00:00,46854.0
2007-04-10 00:00:00,47174.0
2007-04-11 00:00:00,46939.0
2007-04-12 00:00:00,47346.0
2007-04-13 00:00:00,47926.0
2007-04-16 00:00:00,48921.0
2007-04-18 00:00:00,48709.0
2007-04-19 00:00:00,48762.0
2007-04-23 00:00:00,49162.0
2007-04-24 00:00:00,49070.0
2007-04-25 00:00:00,49675.0
2007-04-26 00:00:00,49067.0
2007-04-27 00:00:00,49229.0
2007-04-30 00:00:00,48956.0
2007-05-03 00:00:00,49471.0
2007-05-04 00:00:00,50218.0
2007-05-09 00:00:00,50277.0
2007-05-10 00:00:00,50234.0
2007-05-11 00:00:00,50902.0
2007-05-14 00:00:00,50510.0
2007-05-15 00:00:00,50518.0
2007-05-16 00:00:00,51737.0
2007-05-17 00:00:00,51631.0
2007-05-18 00:00:00,52077.0
2007-05-21 00:00:00,52423.0
2007-05-22 00:00:00,52208.0
2007-05-23 00:00:00,51812.0
2007-05-24 00:00:00,50530.0
2007-05-25 00:00:00,51617.0
2007-05-28 00:00:00,52119.0
2007-05-29 00:00:00,51713.0
2007-05-30 00:00:00,52527.0
2007-05-31 00:00:00,52268.0
2007-06-01 00:00:00,53422.0
2007-06-04 00:00:00,53242.0
2007-06-05 00:00:00,53162.0
2007-06-07 00:00:00,52049.0
2007-06-08 00:00:00,52329.0
2007-06-12 00:00:00,52776.0
2007-06-13 00:00:00,52993.0
2007-06-14 00:00:00,53712.0
2007-06-18 00:00:00,54730.0
2007-06-19 00:00:00,54643.0
